Node	State	ProbSum	Father	StateFather	ProbSumFather
S3	1	166	N11	1	166
S5	1	166	N11	1	166
N11	1	166	N10	1	166
S8	1	166	N10	1	166
N10	1	166	N9	1	166
S9	1	165	N9	1	166
N9	1	166	N8	1	166
S2	1	166	N8	1	166
N8	1	166	N7	1	166
S6	1	166	N7	1	166
N7	1	166	N6	1	166
S7	1	166	N6	1	166
N6	1	166	N5	1	166
S4	1	166	N5	1	166
N5	1	166	N4	1	166
S1	1	168	N4	1	166
N4	1	166	N3	1	166
S13	1	165	N12	1	166
S10	1	166	N13	1	166
S11	1	166	N13	1	166
N13	1	166	N12	1	166
N12	1	166	N3	1	166
N3	1	166	N2	1	166
S12	1	167	N2	1	166
N2	1	166	N1	1	165.7
S14	1	165	N14	1	165
S16	1	166	N15	1	166
S15	1	166	N16	1	166
S17	1	167	N16	1	166
N16	1	166	N15	1	166
N15	1	166	N14	1	165
N14	1	165	N1	1	165.7
N1	1	165.7	NoFather2Root	NA	NA
