# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.00182	0.00182	0.002019	1	0.2671	0.009647
N3	4.027e-06	0.001824	0.002015	2	2.412e-05	2.929e-05
N4	0.001508	0.003332	0.0005067	1	0.01172	0.002172
N5	0.0005027	0.003835	2.416e-05	1	0.001248	0.00967
N6	4.027e-06	0.003839	2.013e-05	1	7.861e-06	2.705e-06
N7	4.027e-06	0.003843	1.611e-05	1	7.835e-06	2.52e-06
N8	4.027e-06	0.003847	1.208e-05	1	7.835e-06	2.531e-06
N9	4.027e-06	0.003851	8.053e-06	1	7.94e-06	5.268e-06
N10	4.027e-06	0.003855	4.027e-06	1	2.189e-05	0.0001005
N11	4.027e-06	0.003859	0.0005062	1	3.694e-05	1.979e-05
S3	0.0005062	0.004365	0	0	0.0002169	0.001411
S5	0.001519	0.005377	0	0	0.001314	0.004995
S8	4.027e-06	0.003859	0	0	1	0.9999
S9	0.003038	0.006889	0	0	0.004797	1.012
S2	0.0005062	0.004353	0	0	0.000153	0.001407
S6	0.002532	0.006374	0	0	0.003398	0.009598
S7	0.002025	0.005864	0	0	0.002193	0.007167
S4	0.001012	0.004847	0	0	0.0005701	0.003071
S1	0.0005067	0.003839	0	0	1.991	0.002907
N12	0.001013	0.002836	0.002026	1	0.001246	0.008379
S13	0.004562	0.007399	0	0	0.01363	1.015
N13	0.002026	0.004862	4.027e-07	1	0.006704	0.007199
S10	4.027e-07	0.004863	0	0	5.56e-08	1.009e-06
S11	0.0005062	0.005368	0	0	0.0001925	0.001396
S12	0.002532	0.004352	0	0	1.001	0.01548
N14	0.005269	0.005269	0.001521	1	0.04192	0.7769
S14	0.001521	0.00679	0	0	0.001599	0.03089
N15	0.00101	0.006279	0.001016	1	0.9747	0.003563
S16	0.003544	0.009823	0	0	0.007928	0.01505
N16	4.027e-06	0.006283	0.001012	1	0.0001254	1.006e-05
S15	0.001012	0.007295	0	0	0.001316	0.003034
S17	0.002026	0.008309	0	0	1.003	0.007037
