# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.00333757	2	0	0
N2	0.00307916	0.00307916	0.00025841	1	0	0
N3	1e-06	0.00308016	0.00025741	2	0	0
N4	0.00025727	0.00333743	0.00102973	1	0	0
N5	0.00012856	0.00346599	0.00090117	1	0	0
S23	0.00090117	0.00436716	0	0	0	0
S24	0.00115856	0.00462455	0	0	0	0
S25	0.00115827	0.0044957	0	0	0	1
N6	0.00025731	0.00333747	1e-07	1	0	0
S20	1e-07	0.00333757	0	0	0	0
S21	0.00025731	0.00359478	0	0	0	0
S22	0.00064679	0.00372595	0	0	0	1
N7	0.00279428	0.00279428	0.00253608	2	0	1
N8	0.00070162	0.0034959	0.00183446	1	0	0
N9	0.0010603	0.0045562	0.00077416	1	0	0
N10	0.00077216	0.00532836	2e-06	1	0	0
N11	1e-06	0.00532936	1e-06	1	0	0
S15	1e-06	0.00533036	0	0	0	0
S17	0.00038602	0.00571538	0	0	1	1
S16	0.00025733	0.00558569	0	0	0	0
S18	0.00115875	0.00571495	0	0	0	1
S19	0.00392574	0.00742164	0	0	0	1
N12	0.00172604	0.00452032	0.00141601	2	0	1
N13	0.00057116	0.00509148	0.00093062	1	0	0
N14	0.00158581	0.00667729	0.00012701	1	0	1
S13	0.00012701	0.0068043	0	0	1	0
S14	0.0008918	0.00756909	0	0	0	0
S12	0.00093062	0.0060221	0	0	1	0
N15	0.00128864	0.00580896	0.00012737	1	0	0
S5	0.00012737	0.00593633	0	0	0	0
N16	0.0001273	0.00593626	0.00013045	1	0	0
S11	0.00101908	0.00695534	0	0	0	1
N17	1e-06	0.00593726	0.00012945	2	0	0
N18	0.00063696	0.00657422	1e-06	1	0	0
N19	1e-06	0.00657522	1e-06	1	0	0
S2	1e-06	0.00657622	0	0	0	0
S3	1e-06	0.00657622	0	0	0	0
S10	1e-06	0.00657522	0	0	0	0
N20	1e-06	0.00593826	0.00012845	1	0	0
S9	0.00076428	0.00670254	0	0	1	1
N21	1e-06	0.00593926	0.00012745	2	0	0
N22	0.00012735	0.00606661	1e-07	1	0	0
S1	1e-07	0.00606671	0	0	2	0
S4	0.00025472	0.00632133	0	0	0	0
N23	0.0001273	0.00606656	2e-07	1	0	0
S8	0.00050938	0.00657594	0	0	0	1
N24	1e-07	0.00606666	1e-07	1	0	0
S6	1e-07	0.00606676	0	0	0	0
S7	0.00025474	0.0063214	0	0	0	0
