POS	prob01	prob10
1	0.0009232	0.004032
2	1.009	0.02109
3	1.002	0.003799
4	1.002	0.008732
5	0.0008482	0.001642
6	0.0008448	0.0005302
7	0.0008448	0.0005302
8	0.0008448	0.0005302
9	0.0008448	0.0005302
10	0.0008448	0.0005302
11	0.0008448	0.0005302
12	0.0008448	0.0005302
13	0.0008448	0.0005302
14	0.0008448	0.0005302
15	0.0008448	0.0005302
16	0.0008448	0.0005302
17	0.0008448	0.0005302
18	0.0008448	0.0005302
19	0.0008448	0.0005302
20	0.0008448	0.0005302
21	0.0008448	0.0005302
22	0.0008448	0.0005302
23	0.0008448	0.0005302
24	0.0008448	0.0005302
25	0.0008448	0.0005302
26	0.0008448	0.0005302
27	0.0008448	0.0005302
28	1.002	0.009475
29	0.0008448	0.0005302
30	0.0008448	0.0005302
31	0.0008448	0.0005302
32	0.0008448	0.0005302
33	0.0008448	0.0005302
34	0.0008448	0.0005302
35	0.0008448	0.0005302
36	0.0008448	0.0005302
37	0.0008448	0.0005302
38	0.0008448	0.0005302
39	0.0008448	0.0005302
40	0.0008448	0.0005302
41	0.0008448	0.0005302
42	0.0008448	0.0005302
43	0.0008448	0.0005302
44	0.0008448	0.0005302
45	0.01313	1.002
46	0.0008448	0.0005302
47	0.0008448	0.0005302
48	0.0008448	0.0005302
49	0.0008448	0.0005302
50	0.0008448	0.0005302
51	0.0008448	0.0005302
52	0.0008448	0.0005302
53	0.0008448	0.0005302
54	0.0008448	0.0005302
55	0.0008448	0.0005302
56	0.0008448	0.0005302
57	0.0008448	0.0005302
58	0.0008448	0.0005302
59	0.0008448	0.0005302
60	0.0008448	0.0005302
61	0.0008448	0.0005302
62	1.002	0.009475
63	0.0008448	0.0005302
64	0.0008448	0.0005302
65	0.0008448	0.0005302
66	0.0008448	0.0005302
67	0.0008448	0.0005302
68	0.0008448	0.0005302
69	0.0008448	0.0005302
70	0.0008448	0.0005302
71	0.0008448	0.0005302
72	0.0008448	0.0005302
73	0.0008448	0.0005302
74	0.0008448	0.0005302
75	0.0008448	0.0005302
76	0.0008448	0.0005302
77	0.0008448	0.0005302
78	0.0008448	0.0005302
79	0.0008448	0.0005302
80	1.002	0.02108
81	0.0008448	0.0005302
82	0.0008448	0.0005302
83	0.0008448	0.0005302
84	0.0008448	0.0005302
85	0.0008448	0.0005302
86	0.0008448	0.0005302
87	0.0008448	0.0005302
88	0.0008448	0.0005302
89	0.0008448	0.0005302
90	0.0008448	0.0005302
91	0.0008448	0.0005302
92	0.0008448	0.0005302
93	0.0008448	0.0005302
94	0.0008448	0.0005302
95	0.0008448	0.0005302
96	0.0008448	0.0005302
97	0.0008448	0.0005302
98	0.0008448	0.0005302
99	0.0008448	0.0005302
100	0.0008448	0.0005302
101	0.0008448	0.0005302
102	0.0008448	0.0005302
103	0.0008448	0.0005302
104	0.0008448	0.0005302
105	0.0008448	0.0005302
106	0.0008448	0.0005302
107	0.0008448	0.0005302
108	0.0008448	0.0005302
109	0.0008448	0.0005302
110	0.0008448	0.0005302
111	0.0008448	0.0005302
112	0.0008448	0.0005302
113	0.0008448	0.0005302
114	0.0008448	0.0005302
115	0.0008448	0.0005302
116	0.0008448	0.0005302
117	0.0008448	0.0005302
118	0.0008448	0.0005302
119	0.0008448	0.0005302
120	0.0008448	0.0005302
121	0.0008448	0.0005302
122	0.0008448	0.0005302
123	0.0008448	0.0005302
124	0.9665	0.1129
125	0.5058	0.5794
126	0.5966	0.5042
127	0.0008448	0.0005302
128	0.0008448	0.0005302
129	0.0008448	0.0005302
130	0.0008448	0.0005302
131	0.0008448	0.0005302
132	0.0008448	0.0005302
133	0.0008448	0.0005302
134	0.0008448	0.0005302
135	0.0008448	0.0005302
136	0.0008448	0.0005302
137	0.0008448	0.0005302
138	0.0008448	0.0005302
139	0.0008448	0.0005302
140	0.0008448	0.0005302
141	0.0008448	0.0005302
142	0.0008448	0.0005302
143	0.0008448	0.0005302
144	0.0008448	0.0005302
145	0.0008448	0.0005302
146	0.0008448	0.0005302
147	1.388	1.639
148	0.0008448	0.0005302
149	0.0008448	0.0005302
150	0.0008448	0.0005302
151	0.0008448	0.0005302
152	0.0008448	0.0005302
153	0.0008448	0.0005302
154	0.0008448	0.0005302
155	0.0008448	0.0005302
156	0.0008448	0.0005302
157	0.0008448	0.0005302
158	0.0008448	0.0005302
159	0.0008448	0.0005302
160	0.0008448	0.0005302
161	0.0008448	0.0005302
162	0.0008448	0.0005302
163	0.0008448	0.0005302
164	0.0008448	0.0005302
165	0.0008448	0.0005302
166	0.0008448	0.0005302
167	0.0008448	0.0005302
168	0.0008448	0.0005302
169	0.0008448	0.0005302
170	1.002	0.003749
171	0.000848	0.001637
172	0.000848	0.001637
173	1.009	0.02108
174	0.000923	0.004027
