# Rate values were normalized to Z score (mean rate=0, +/-1 rat= +/-standard error)
# Rates were calculated using the expectation of the posterior rate distribution
# Prior distribution is Gamma with 4 discrete categories
# The alpha parameter 0.1081
# sp.rates(j)  j= 0	1.484e-06	0.25
# sp.rates(j)  j= 1	0.001808	0.25
# sp.rates(j)  j= 2	0.1162	0.25
# sp.rates(j)  j= 3	3.882	0.25

=========================================================================================================================================================
# POS	RATE
1	-0.2222
2	4.42
3	-0.2236
4	-0.2236
5	-0.2236
6	-0.2236
7	-0.2236
8	-0.2236
9	4.418
10	-0.2236
11	-0.2236
12	-0.2236
13	-0.2236
14	-0.2236
15	-0.2236
16	-0.2236
17	-0.2236
18	-0.2236
19	-0.2236
20	-0.2236
21	-0.2236
22	-0.2236
23	-0.2236
24	-0.2236
25	-0.2236
26	-0.2236
27	-0.2236
28	-0.2236
29	-0.2236
30	-0.2236
31	-0.2236
32	-0.2236
33	-0.2236
34	-0.2236
35	-0.2236
36	-0.2236
37	-0.2236
38	-0.2236
39	-0.2236
40	-0.2236
41	-0.2236
42	-0.2236
43	-0.2236
44	-0.2236
45	-0.2236
46	-0.2236
47	-0.2236
48	-0.2236
49	-0.2236
50	-0.2236
51	-0.2236
52	-0.2236
53	-0.2236
54	-0.2236
55	-0.2236
56	-0.2236
57	-0.2236
58	-0.2236
59	-0.2236
60	-0.2236
61	-0.2236
62	-0.2236
63	-0.2236
64	-0.2236
65	-0.2236
66	-0.2236
67	-0.2236
68	-0.2236
69	-0.2236
70	-0.2236
71	-0.2236
72	-0.2236
73	-0.2236
74	-0.2236
75	-0.2236
76	-0.2236
77	-0.2236
78	-0.2236
79	-0.2236
80	-0.2236
81	-0.2236
82	-0.2236
83	-0.2236
84	-0.2236
85	-0.2236
86	-0.2236
87	-0.2236
88	-0.2236
89	-0.2236
90	-0.2236
91	-0.2236
92	-0.2236
93	-0.2236
94	-0.2236
95	-0.2236
96	-0.2236
97	-0.2236
98	-0.2236
99	-0.2236
100	-0.2236
101	-0.2236
102	-0.2236
103	-0.2236
104	-0.2236
105	-0.2236
106	-0.2236
107	-0.2236
108	-0.2236
109	-0.2236
110	-0.2236
111	-0.2236
112	-0.2236
113	-0.2236
114	-0.2236
115	-0.2236
116	-0.2236
117	-0.2236
118	-0.2236
119	-0.2236
120	-0.2236
121	-0.2236
122	-0.2236
123	-0.2236
124	-0.2236
125	-0.2236
126	-0.2236
127	-0.2236
128	-0.2236
129	-0.2236
130	-0.2236
131	4.673
132	-0.2236
133	-0.2236
134	-0.2236
135	-0.2236
136	-0.2236
137	4.436
138	4.476
139	4.672
140	-0.1098
141	-0.2236
142	-0.2236
143	-0.2236
144	-0.2236
145	-0.2236
146	-0.2236
147	-0.2236
148	-0.2236
149	-0.2236
150	-0.2236
151	4.42
152	-0.2236
153	-0.2236
154	-0.2236
155	-0.2236
156	-0.2236
157	-0.2236
158	-0.2236
159	-0.2236
160	-0.2236
161	-0.2236
162	-0.2236
163	-0.2236
164	-0.2236
165	-0.2236
166	-0.2236
167	-0.2236
168	4.477
169	-0.1098
170	-0.1098
171	-0.1098
# Average = 1.066
# Standard Deviation = 0.6018
