# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S4	0.00038589	0.0252109	0	0	1	1
gain	2	S1	1e-07	0.0272836	0	0	1	1
loss	6	S1	1e-07	0.0272836	0	0	1	1
loss	22	N9	0.00485605	0.0259934	0.00129023	1	1	1
loss	36	N7	0.0211373	0.0211373	0.00407356	2	1	1
loss	51	N2	0.0269061	0.0269061	0.00125872	2	1	1
loss	57	N7	0.0211373	0.0211373	0.00407356	2	1	1
gain	58	N8	0.00368767	0.024825	0.00038589	1	1	1
gain	61	N10	0.00129013	0.0272835	1e-07	1	1	1
loss	63	N7	0.0211373	0.0211373	0.00407356	2	1	1
loss	65	N2	0.0269061	0.0269061	0.00125872	2	1	1
gain	67	S6	0.00089838	0.0281649	0	0	1	1
loss	73	N2	0.0269061	0.0269061	0.00125872	2	1	1
loss	115	N2	0.0269061	0.0269061	0.00125872	2	1	1
loss	119	N2	0.0269061	0.0269061	0.00125872	2	1	1
loss	129	N7	0.0211373	0.0211373	0.00407356	2	1	1
loss	130	N9	0.00485605	0.0259934	0.00129023	1	1	1
loss	133	N2	0.0269061	0.0269061	0.00125872	2	1	1
gain	135	S7	0.00116486	0.0284313	0	0	1	1
loss	140	N2	0.0269061	0.0269061	0.00125872	2	1	1
gain	146	S8	0.00025656	0.0287317	0	0	1	1
loss	153	N2	0.0269061	0.0269061	0.00125872	2	1	1
loss	166	S4	0.00038589	0.0252109	0	0	1	1
loss	166	S1	1e-07	0.0272836	0	0	1	1
