POS	Node	State	Prob
1	S1	1	1
1	S2	1	1
1	N2	1	1
1	S3	1	1
1	S4	1	1
1	N3	1	1
1	N1	1	0.9998
2	S1	1	1
2	S2	1	1
2	N2	1	1
2	S3	1	1
2	S4	1	1
2	N3	1	1
2	N1	1	0.9998
3	S1	1	1
3	S2	1	1
3	N2	1	1
3	S3	1	1
3	S4	1	1
3	N3	1	1
3	N1	1	0.9998
4	S1	1	1
4	S2	1	1
4	N2	1	1
4	S3	1	1
4	S4	1	1
4	N3	1	1
4	N1	1	0.9998
5	S1	1	1
5	S2	1	1
5	N2	1	1
5	S3	1	1
5	S4	1	1
5	N3	1	1
5	N1	1	0.9998
6	S1	1	1
6	S2	1	1
6	N2	1	1
6	S3	1	1
6	S4	1	1
6	N3	1	1
6	N1	1	0.9998
7	S1	1	1
7	S2	1	1
7	N2	1	1
7	S3	1	1
7	S4	1	1
7	N3	1	1
7	N1	1	0.9998
8	S1	1	1
8	S2	1	1
8	N2	1	1
8	S3	1	1
8	S4	1	1
8	N3	1	1
8	N1	1	0.9998
9	S1	1	1
9	S2	1	1
9	N2	1	1
9	S3	1	1
9	S4	1	1
9	N3	1	1
9	N1	1	0.9998
10	S1	1	1
10	S2	1	1
10	N2	1	1
10	S3	1	1
10	S4	1	1
10	N3	1	1
10	N1	1	0.9998
11	S1	1	1
11	S2	1	1
11	N2	1	1
11	S3	1	1
11	S4	1	1
11	N3	1	1
11	N1	1	0.9998
12	S1	1	1
12	S2	1	1
12	N2	1	1
12	S3	1	1
12	S4	1	1
12	N3	1	1
12	N1	1	0.9998
13	S1	1	1
13	S2	1	1
13	N2	1	1
13	S3	1	1
13	S4	1	1
13	N3	1	1
13	N1	1	0.9998
14	S1	1	1
14	S2	1	1
14	N2	1	1
14	S3	1	1
14	S4	1	1
14	N3	1	1
14	N1	1	0.9998
15	S1	1	1
15	S2	1	1
15	N2	1	1
15	S3	1	1
15	S4	1	1
15	N3	1	1
15	N1	1	0.9998
16	S1	1	1
16	S2	1	1
16	N2	1	1
16	S3	1	1
16	S4	1	1
16	N3	1	1
16	N1	1	0.9998
17	S1	1	1
17	S2	1	1
17	N2	1	1
17	S3	1	1
17	S4	1	1
17	N3	1	1
17	N1	1	0.9998
18	S1	1	1
18	S2	1	1
18	N2	1	1
18	S3	1	1
18	S4	1	1
18	N3	1	1
18	N1	1	0.9998
19	S1	1	0
19	S2	1	0
19	N2	1	4.51e-13
19	S3	1	1
19	S4	1	0
19	N3	1	0.005562
19	N1	1	0.00355
20	S1	1	1
20	S2	1	1
20	N2	1	1
20	S3	1	1
20	S4	1	1
20	N3	1	1
20	N1	1	0.9998
21	S1	1	1
21	S2	1	1
21	N2	1	1
21	S3	1	1
21	S4	1	1
21	N3	1	1
21	N1	1	0.9998
22	S1	1	1
22	S2	1	1
22	N2	1	1
22	S3	1	1
22	S4	1	1
22	N3	1	1
22	N1	1	0.9998
23	S1	1	1
23	S2	1	1
23	N2	1	1
23	S3	1	1
23	S4	1	1
23	N3	1	1
23	N1	1	0.9998
24	S1	1	1
24	S2	1	1
24	N2	1	1
24	S3	1	1
24	S4	1	1
24	N3	1	1
24	N1	1	0.9998
25	S1	1	1
25	S2	1	1
25	N2	1	1
25	S3	1	1
25	S4	1	1
25	N3	1	1
25	N1	1	0.9998
26	S1	1	1
26	S2	1	1
26	N2	1	1
26	S3	1	1
26	S4	1	1
26	N3	1	1
26	N1	1	0.9998
27	S1	1	1
27	S2	1	1
27	N2	1	1
27	S3	1	1
27	S4	1	1
27	N3	1	1
27	N1	1	0.9998
28	S1	1	1
28	S2	1	1
28	N2	1	1
28	S3	1	1
28	S4	1	1
28	N3	1	1
28	N1	1	0.9998
29	S1	1	1
29	S2	1	1
29	N2	1	1
29	S3	1	1
29	S4	1	1
29	N3	1	1
29	N1	1	0.9998
30	S1	1	1
30	S2	1	1
30	N2	1	1
30	S3	1	1
30	S4	1	1
30	N3	1	1
30	N1	1	0.9998
31	S1	1	1
31	S2	1	1
31	N2	1	1
31	S3	1	1
31	S4	1	1
31	N3	1	1
31	N1	1	0.9998
32	S1	1	1
32	S2	1	1
32	N2	1	1
32	S3	1	1
32	S4	1	1
32	N3	1	1
32	N1	1	0.9998
33	S1	1	1
33	S2	1	1
33	N2	1	1
33	S3	1	1
33	S4	1	1
33	N3	1	1
33	N1	1	0.9998
34	S1	1	1
34	S2	1	1
34	N2	1	1
34	S3	1	1
34	S4	1	1
34	N3	1	1
34	N1	1	0.9998
35	S1	1	1
35	S2	1	1
35	N2	1	1
35	S3	1	1
35	S4	1	1
35	N3	1	1
35	N1	1	0.9998
36	S1	1	1
36	S2	1	1
36	N2	1	1
36	S3	1	1
36	S4	1	1
36	N3	1	1
36	N1	1	0.9998
37	S1	1	1
37	S2	1	1
37	N2	1	1
37	S3	1	1
37	S4	1	1
37	N3	1	1
37	N1	1	0.9998
38	S1	1	1
38	S2	1	1
38	N2	1	1
38	S3	1	1
38	S4	1	1
38	N3	1	1
38	N1	1	0.9998
39	S1	1	1
39	S2	1	1
39	N2	1	1
39	S3	1	1
39	S4	1	1
39	N3	1	1
39	N1	1	0.9998
40	S1	1	1
40	S2	1	1
40	N2	1	1
40	S3	1	1
40	S4	1	1
40	N3	1	1
40	N1	1	0.9998
41	S1	1	1
41	S2	1	1
41	N2	1	1
41	S3	1	1
41	S4	1	1
41	N3	1	1
41	N1	1	0.9998
42	S1	1	1
42	S2	1	1
42	N2	1	1
42	S3	1	1
42	S4	1	1
42	N3	1	1
42	N1	1	0.9998
43	S1	1	1
43	S2	1	1
43	N2	1	1
43	S3	1	1
43	S4	1	1
43	N3	1	1
43	N1	1	0.9998
44	S1	1	1
44	S2	1	1
44	N2	1	1
44	S3	1	1
44	S4	1	1
44	N3	1	1
44	N1	1	0.9998
45	S1	1	1
45	S2	1	1
45	N2	1	1
45	S3	1	1
45	S4	1	1
45	N3	1	1
45	N1	1	0.9998
46	S1	1	1
46	S2	1	1
46	N2	1	1
46	S3	1	1
46	S4	1	1
46	N3	1	1
46	N1	1	0.9998
47	S1	1	1
47	S2	1	1
47	N2	1	1
47	S3	1	1
47	S4	1	1
47	N3	1	1
47	N1	1	0.9998
48	S1	1	1
48	S2	1	1
48	N2	1	1
48	S3	1	1
48	S4	1	1
48	N3	1	1
48	N1	1	0.9998
49	S1	1	1
49	S2	1	1
49	N2	1	1
49	S3	1	1
49	S4	1	1
49	N3	1	1
49	N1	1	0.9998
50	S1	1	1
50	S2	1	1
50	N2	1	1
50	S3	1	1
50	S4	1	1
50	N3	1	1
50	N1	1	0.9998
51	S1	1	1
51	S2	1	1
51	N2	1	1
51	S3	1	1
51	S4	1	1
51	N3	1	1
51	N1	1	0.9998
52	S1	1	1
52	S2	1	1
52	N2	1	1
52	S3	1	1
52	S4	1	1
52	N3	1	1
52	N1	1	0.9998
53	S1	1	1
53	S2	1	1
53	N2	1	1
53	S3	1	1
53	S4	1	1
53	N3	1	1
53	N1	1	0.9998
54	S1	1	1
54	S2	1	1
54	N2	1	1
54	S3	1	1
54	S4	1	1
54	N3	1	1
54	N1	1	0.9998
55	S1	1	1
55	S2	1	1
55	N2	1	1
55	S3	1	1
55	S4	1	1
55	N3	1	1
55	N1	1	0.9998
56	S1	1	1
56	S2	1	1
56	N2	1	1
56	S3	1	1
56	S4	1	1
56	N3	1	1
56	N1	1	0.9998
57	S1	1	1
57	S2	1	1
57	N2	1	1
57	S3	1	1
57	S4	1	1
57	N3	1	1
57	N1	1	0.9998
58	S1	1	1
58	S2	1	1
58	N2	1	1
58	S3	1	1
58	S4	1	1
58	N3	1	1
58	N1	1	0.9998
59	S1	1	1
59	S2	1	1
59	N2	1	1
59	S3	1	1
59	S4	1	1
59	N3	1	1
