# log Likelihood of tree (entire data)=	-65.36
POS	logLofPos
1	-0.04729
2	-6.83
3	-0.04867
4	-0.04867
5	-0.04867
6	-0.04867
7	-0.04867
8	-0.04867
9	-0.04867
10	-0.04867
11	-0.04867
12	-0.04867
13	-0.04867
14	-0.04867
15	-0.04867
16	-0.04867
17	-0.04867
18	-0.04867
19	-0.04867
20	-0.04867
21	-0.04867
22	-0.04867
23	-0.04867
24	-0.04867
25	-0.04867
26	-0.04867
27	-0.04867
28	-0.04867
29	-0.04867
30	-0.04867
31	-0.04867
32	-0.04867
33	-0.04867
34	-0.04867
35	-0.04867
36	-0.04867
37	-0.04867
38	-0.04867
39	-0.04867
40	-0.04867
41	-0.04867
42	-0.04867
43	-0.04867
44	-0.04867
45	-0.04867
46	-0.04867
47	-0.04867
48	-0.04867
49	-0.04867
50	-0.04867
51	-0.04867
52	-0.04867
53	-0.04867
54	-0.04867
55	-0.04867
56	-0.04867
57	-0.04867
58	-0.04867
59	-0.04867
60	-0.04867
61	-0.04867
62	-0.04867
63	-0.04867
64	-0.04867
65	-0.04867
66	-4.919
67	-0.04867
68	-0.04867
69	-0.04867
70	-0.04867
71	-0.04867
72	-0.04867
73	-0.04867
74	-0.04867
75	-0.04867
76	-0.04867
77	-0.04867
78	-0.04867
79	-0.04867
80	-0.04867
81	-0.04867
82	-0.04867
83	-0.04867
84	-0.04867
85	-0.04867
86	-0.04867
87	-0.04867
88	-0.04867
89	-0.04867
90	-0.04867
91	-0.04867
92	-0.04867
93	-0.04867
94	-0.04867
95	-0.04867
96	-0.04867
97	-0.04867
98	-0.04867
99	-0.04867
100	-0.04867
101	-0.04867
102	-0.04867
103	-0.04867
104	-0.04867
105	-0.04867
106	-0.04867
107	-0.04867
108	-0.04867
109	-0.04867
110	-0.04867
111	-0.04867
112	-0.04867
113	-0.04867
114	-0.04867
115	-0.04867
116	-7.405
117	-0.04867
118	-0.04867
119	-0.04867
120	-0.04867
121	-12.35
122	-0.04865
123	-0.04867
124	-0.04867
125	-0.04867
126	-0.04867
127	-0.04867
128	-0.04867
129	-0.04867
130	-0.04867
131	-0.04867
132	-0.04867
133	-0.04867
134	-8.224
135	-10.95
136	-0.02306
137	-0.04867
138	-0.04867
139	-0.04867
140	-0.04867
141	-0.04867
142	-0.04867
143	-0.04867
144	-0.04867
145	-0.04867
146	-0.04867
147	-0.04867
148	-0.04867
149	-0.04867
150	-0.04867
151	-0.04867
152	-0.04867
153	-0.04867
154	-0.04867
155	-0.04867
156	-0.04867
157	-0.04867
158	-0.04867
159	-0.04867
160	-0.04867
161	-0.04867
162	-0.04867
163	-0.04867
164	-0.04867
165	-0.04867
166	-0.04867
167	-6.83
168	-0.04729
169	-0.04729
