# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	2	N11	0.00074	0.03054	0.0009619	1	0.1973
gain	2	S19	0.003056	0.0336	0	0	0.8027
gain	3	S13	8.987e-07	0.03017	0	0	0.9994
gain	4	S18	0.0009619	0.0315	0	0	0.9959
gain	8	N2	0.02858	0.02858	0.004015	1	0.4763
loss	8	N5	0.02468	0.02468	0.005097	3	0.5309
gain	8	N11	0.00074	0.03054	0.0009619	1	0.9557
loss	53	S7	0.003654	0.03151	0	0	0.9909
gain	54	N2	0.02858	0.02858	0.004015	1	0.4763
loss	54	N5	0.02468	0.02468	0.005097	3	0.5309
gain	54	N11	0.00074	0.03054	0.0009619	1	0.9557
loss	56	N18	0.003694	0.02989	0.003303	2	0.9823
gain	60	N2	0.02858	0.02858	0.004015	1	0.4763
loss	60	N5	0.02468	0.02468	0.005097	3	0.5309
gain	60	N11	0.00074	0.03054	0.0009619	1	0.9557
gain	115	S7	0.003654	0.03151	0	0	0.9501
gain	115	N18	0.003694	0.02989	0.003303	2	0.9369
loss	116	N2	0.02858	0.02858	0.004015	1	0.6022
gain	116	N5	0.02468	0.02468	0.005097	3	0.4033
loss	116	N11	0.00074	0.03054	0.0009619	1	0.9896
loss	133	S10	0.001381	0.03111	0	0	0.9997
gain	134	S16	0.001261	0.02977	0	0	0.9992
loss	138	N3	0.002246	0.03082	0.001769	1	0.05989
gain	138	S23	0.004224	0.0328	0	0	0.9401
loss	138	N5	0.02468	0.02468	0.005097	3	0.05485
gain	149	N2	0.02858	0.02858	0.004015	1	0.4763
loss	149	N5	0.02468	0.02468	0.005097	3	0.5309
gain	149	N11	0.00074	0.03054	0.0009619	1	0.9557
loss	167	N2	0.02858	0.02858	0.004015	1	0.6033
gain	167	N5	0.02468	0.02468	0.005097	3	0.4041
loss	167	N11	0.00074	0.03054	0.0009619	1	0.9896
gain	168	N11	0.00074	0.03054	0.0009619	1	0.964
