# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S1	0.002226	0.01488	0	0	0.9986	0.9986
gain	66	N2	0.007385	0.007385	0.0003732	1	0.4985	0.4986
loss	66	N3	0.00713	0.00713	0.002201	2	0.4988	0.4989
loss	116	S7	0.001024	0.0167	0	0	0.992	0.992
loss	121	N2	0.007385	0.007385	0.0003732	1	0.06364	0.06365
gain	121	N3	0.00713	0.00713	0.002201	2	0.0583	0.05831
loss	121	N4	0.007717	0.01485	0.001749	1	0.1205	0.1205
gain	121	N6	0.002201	0.00933	2.161e-07	1	0.856	0.856
loss	121	N7	0.001386	0.01072	0.001386	1	0.9738	0.9738
loss	134	N2	0.007385	0.007385	0.0003732	1	0.08894	0.08896
gain	134	S10	0.0007386	0.008124	0	0	0.1725	0.1725
loss	134	S11	0.0003732	0.007758	0	0	0.8275	0.8275
gain	134	N3	0.00713	0.00713	0.002201	2	0.08354	0.08356
gain	135	N4	0.007717	0.01485	0.001749	1	0.5659	0.566
loss	135	S7	0.001024	0.0167	0	0	0.5687	0.5687
gain	135	S8	0.001193	0.01687	0	0	0.4314	0.4314
gain	135	S9	0.001749	0.0166	0	0	0.4279	0.428
gain	167	S1	0.002226	0.01488	0	0	0.9986	0.9986
