# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
POS	Node	State
1	N1	0
1	N2	0
1	N3	0
1	S14	0
1	S15	0
1	S13	0
1	N4	0
1	N5	0
1	N6	0
1	S10	0
1	S11	0
1	S12	0
1	N7	0
1	N8	0
1	N9	0
1	S1	1
1	S2	0
1	S3	0
1	N10	0
1	S4	0
1	N11	0
1	N12	0
1	S8	0
1	S9	0
1	N13	0
1	S5	0
1	N14	0
1	S6	0
1	S7	0
2	N1	1
2	N2	1
2	N3	1
2	S14	1
2	S15	1
2	S13	1
2	N4	1
2	N5	1
2	N6	1
2	S10	1
2	S11	1
2	S12	1
2	N7	1
2	N8	1
2	N9	1
2	S1	1
2	S2	1
2	S3	1
2	N10	1
2	S4	1
2	N11	1
2	N12	1
2	S8	1
2	S9	1
2	N13	1
2	S5	1
2	N14	1
2	S6	1
2	S7	1
3	N1	1
3	N2	1
3	N3	1
3	S14	1
3	S15	1
3	S13	1
3	N4	1
3	N5	1
3	N6	1
3	S10	1
3	S11	1
3	S12	1
3	N7	1
3	N8	1
3	N9	1
3	S1	1
3	S2	1
3	S3	1
3	N10	1
3	S4	1
3	N11	1
3	N12	1
3	S8	1
3	S9	1
3	N13	1
3	S5	1
3	N14	1
3	S6	1
3	S7	1
4	N1	1
4	N2	1
4	N3	1
4	S14	1
4	S15	1
4	S13	1
4	N4	1
4	N5	1
4	N6	1
4	S10	1
4	S11	1
4	S12	1
4	N7	1
4	N8	1
4	N9	1
4	S1	1
4	S2	1
4	S3	1
4	N10	1
4	S4	1
4	N11	1
4	N12	1
4	S8	1
4	S9	1
4	N13	1
4	S5	1
4	N14	1
4	S6	1
4	S7	1
5	N1	1
5	N2	1
5	N3	1
5	S14	1
5	S15	1
5	S13	1
5	N4	1
5	N5	1
5	N6	1
5	S10	1
5	S11	1
5	S12	1
5	N7	1
5	N8	1
5	N9	1
5	S1	1
5	S2	1
5	S3	1
5	N10	1
5	S4	1
5	N11	1
5	N12	1
5	S8	1
5	S9	1
5	N13	1
5	S5	1
5	N14	1
5	S6	1
5	S7	1
6	N1	1
6	N2	1
6	N3	1
6	S14	1
6	S15	1
6	S13	1
6	N4	1
6	N5	1
6	N6	1
6	S10	1
6	S11	1
6	S12	1
6	N7	1
6	N8	1
6	N9	1
6	S1	1
6	S2	1
6	S3	1
6	N10	1
6	S4	1
6	N11	1
6	N12	1
6	S8	1
6	S9	1
6	N13	1
6	S5	1
6	N14	1
6	S6	1
6	S7	1
7	N1	1
7	N2	1
7	N3	1
7	S14	1
7	S15	1
7	S13	1
7	N4	1
7	N5	1
7	N6	1
7	S10	1
7	S11	1
7	S12	1
7	N7	1
7	N8	1
7	N9	1
7	S1	1
7	S2	1
7	S3	1
7	N10	1
7	S4	1
7	N11	1
7	N12	1
7	S8	1
7	S9	1
7	N13	1
7	S5	1
7	N14	1
7	S6	1
7	S7	1
8	N1	1
8	N2	1
8	N3	1
8	S14	1
8	S15	1
8	S13	1
8	N4	1
8	N5	1
8	N6	1
8	S10	1
8	S11	1
8	S12	1
8	N7	1
8	N8	1
8	N9	1
8	S1	1
8	S2	1
8	S3	1
8	N10	1
8	S4	1
8	N11	1
8	N12	1
8	S8	1
8	S9	1
8	N13	1
8	S5	1
8	N14	1
8	S6	1
8	S7	1
9	N1	1
9	N2	1
9	N3	1
9	S14	1
9	S15	1
9	S13	1
9	N4	1
9	N5	1
9	N6	1
9	S10	1
9	S11	1
9	S12	1
9	N7	1
9	N8	1
9	N9	1
9	S1	1
9	S2	1
9	S3	1
9	N10	1
9	S4	1
9	N11	1
9	N12	1
9	S8	1
9	S9	1
9	N13	1
9	S5	1
9	N14	1
9	S6	1
9	S7	1
10	N1	1
10	N2	1
10	N3	1
10	S14	1
10	S15	1
10	S13	1
10	N4	1
10	N5	1
10	N6	1
10	S10	1
10	S11	1
10	S12	1
10	N7	1
10	N8	1
10	N9	1
10	S1	1
10	S2	1
10	S3	1
10	N10	1
10	S4	1
10	N11	1
10	N12	1
10	S8	1
10	S9	1
10	N13	1
10	S5	1
10	N14	1
10	S6	1
10	S7	1
11	N1	1
11	N2	1
11	N3	1
11	S14	1
11	S15	1
11	S13	1
11	N4	1
11	N5	1
11	N6	1
11	S10	1
11	S11	1
11	S12	1
11	N7	1
11	N8	1
11	N9	1
11	S1	1
11	S2	1
11	S3	1
11	N10	1
11	S4	1
11	N11	1
11	N12	1
11	S8	1
11	S9	1
11	N13	1
11	S5	1
11	N14	1
11	S6	1
11	S7	1
12	N1	1
12	N2	1
12	N3	1
12	S14	1
12	S15	1
12	S13	1
12	N4	1
12	N5	1
12	N6	1
12	S10	1
12	S11	1
12	S12	1
12	N7	1
12	N8	1
12	N9	1
12	S1	1
12	S2	1
12	S3	1
12	N10	1
12	S4	1
12	N11	1
12	N12	1
12	S8	1
12	S9	1
12	N13	1
12	S5	1
12	N14	1
12	S6	1
12	S7	1
13	N1	1
13	N2	1
13	N3	1
13	S14	1
13	S15	1
13	S13	1
13	N4	1
13	N5	1
13	N6	1
13	S10	1
13	S11	1
13	S12	1
13	N7	1
13	N8	1
13	N9	1
13	S1	1
13	S2	1
13	S3	1
13	N10	1
13	S4	1
13	N11	1
13	N12	1
13	S8	1
13	S9	1
13	N13	1
13	S5	1
13	N14	1
13	S6	1
13	S7	1
14	N1	1
14	N2	1
14	N3	1
14	S14	1
14	S15	1
14	S13	1
14	N4	1
14	N5	1
14	N6	1
14	S10	1
14	S11	1
14	S12	1
14	N7	1
14	N8	1
14	N9	1
14	S1	1
14	S2	1
14	S3	1
14	N10	1
14	S4	1
14	N11	1
14	N12	1
14	S8	1
14	S9	1
14	N13	1
14	S5	1
14	N14	1
14	S6	1
14	S7	1
15	N1	1
15	N2	1
15	N3	1
15	S14	1
15	S15	1
15	S13	1
15	N4	1
15	N5	1
15	N6	1
15	S10	1
15	S11	1
15	S12	1
15	N7	1
15	N8	1
15	N9	1
15	S1	1
15	S2	1
15	S3	1
15	N10	1
15	S4	1
15	N11	1
15	N12	1
15	S8	1
15	S9	1
15	N13	1
15	S5	1
15	N14	1
15	S6	1
15	S7	1
16	N1	1
16	N2	1
16	N3	1
16	S14	1
16	S15	1
16	S13	1
16	N4	1
16	N5	1
16	N6	1
16	S10	1
16	S11	1
16	S12	1
16	N7	1
16	N8	1
16	N9	1
16	S1	1
16	S2	1
16	S3	1
16	N10	1
16	S4	1
16	N11	1
16	N12	1
16	S8	1
16	S9	1
16	N13	1
16	S5	1
16	N14	1
16	S6	1
16	S7	1
17	N1	1
17	N2	1
17	N3	1
17	S14	1
17	S15	1
17	S13	1
17	N4	1
17	N5	1
17	N6	1
17	S10	1
17	S11	1
17	S12	1
17	N7	1
17	N8	1
17	N9	1
17	S1	1
17	S2	1
17	S3	1
17	N10	1
17	S4	1
17	N11	1
17	N12	1
17	S8	1
17	S9	1
17	N13	1
17	S5	1
17	N14	1
17	S6	1
17	S7	1
18	N1	1
18	N2	1
18	N3	1
18	S14	1
18	S15	1
18	S13	1
18	N4	1
18	N5	1
18	N6	1
18	S10	1
18	S11	1
18	S12	1
18	N7	1
18	N8	1
18	N9	1
18	S1	1
18	S2	1
18	S3	1
18	N10	1
18	S4	1
18	N11	1
18	N12	1
18	S8	1
18	S9	1
18	N13	1
18	S5	1
18	N14	1
18	S6	1
18	S7	1
19	N1	1
19	N2	1
19	N3	1
19	S14	1
19	S15	1
19	S13	1
19	N4	1
19	N5	1
19	N6	1
19	S10	1
19	S11	1
19	S12	1
19	N7	1
19	N8	1
19	N9	1
19	S1	1
19	S2	1
19	S3	1
19	N10	1
19	S4	1
19	N11	1
19	N12	1
19	S8	1
19	S9	1
19	N13	1
19	S5	1
19	N14	1
19	S6	1
19	S7	1
20	N1	1
20	N2	1
20	N3	1
20	S14	1
20	S15	1
20	S13	1
20	N4	1
20	N5	1
20	N6	1
20	S10	1
20	S11	1
20	S12	1
20	N7	1
20	N8	1
20	N9	1
20	S1	1
20	S2	1
20	S3	1
20	N10	1
20	S4	1
20	N11	1
20	N12	1
20	S8	1
