POS	exp01	exp10
1	0.005288	0.003262
2	1.016	0.6889
3	0.005288	0.003262
4	0.005288	0.003262
5	0.005284	0.003258
6	0.005284	0.003258
7	0.005284	0.003258
8	0.005284	0.003258
9	0.005284	0.003258
10	0.005284	0.003258
11	0.005284	0.003258
12	0.005284	0.003258
13	0.005284	0.003258
14	0.005284	0.003258
15	0.005284	0.003258
16	0.005284	0.003258
17	0.005284	0.003258
18	0.005284	0.003258
19	0.005284	0.003258
20	0.005284	0.003258
21	0.005284	0.003258
22	0.005284	0.003258
23	0.005284	0.003258
24	0.005284	0.003258
25	0.005284	0.003258
26	0.005284	0.003258
27	0.005284	0.003258
28	0.005284	0.003258
29	0.005284	0.003258
30	0.005284	0.003258
31	0.005284	0.003258
32	0.005284	0.003258
33	0.005284	0.003258
34	0.005284	0.003258
35	0.005284	0.003258
36	0.005284	0.003258
37	0.005284	0.003258
38	0.005284	0.003258
39	0.005284	0.003258
40	0.005284	0.003258
41	0.005284	0.003258
42	0.005284	0.003258
43	0.005284	0.003258
44	0.005284	0.003258
45	0.005284	0.003258
46	0.005284	0.003258
47	0.005284	0.003258
48	0.005284	0.003258
49	0.005284	0.003258
50	0.005284	0.003258
51	0.005284	0.003258
52	0.005284	0.003258
53	0.005284	0.003258
54	0.005284	0.003258
55	0.005284	0.003258
56	0.005284	0.003258
57	0.005284	0.003258
58	0.005284	0.003258
59	0.005284	0.003258
60	0.005284	0.003258
61	0.005284	0.003258
62	0.005284	0.003258
63	0.005284	0.003258
64	0.005284	0.003258
65	0.005284	0.003258
66	0.005284	0.003258
67	0.005284	0.003258
68	0.005284	0.003258
69	0.005284	0.003258
70	0.005284	0.003258
71	0.005284	0.003258
72	1.951	0.6069
73	2.468	0.05114
74	2.414	6.332
75	0.005284	0.003258
76	0.005284	0.003258
77	0.005284	0.003258
78	0.005284	0.003258
79	0.005284	0.003258
80	0.005284	0.003258
81	0.005284	0.003258
82	0.005284	0.003258
83	0.005284	0.003258
84	0.005284	0.003258
85	0.005284	0.003258
86	0.005284	0.003258
87	0.005284	0.003258
88	0.005284	0.003258
89	0.005284	0.003258
90	0.005284	0.003258
91	0.005284	0.003258
92	0.005284	0.003258
93	0.005284	0.003258
94	0.005284	0.003258
95	0.005284	0.003258
96	0.005284	0.003258
97	0.005284	0.003258
98	0.005284	0.003258
99	0.005284	0.003258
100	0.005284	0.003258
101	0.005284	0.003258
102	0.005284	0.003258
103	0.005284	0.003258
104	0.005284	0.003258
105	0.005284	0.003258
106	0.005284	0.003258
107	0.005284	0.003258
108	0.005284	0.003258
109	0.005284	0.003258
110	0.005284	0.003258
111	0.005284	0.003258
112	0.005284	0.003258
113	0.005284	0.003258
114	0.005284	0.003258
115	0.005284	0.003258
116	1.013	0.03056
117	0.005284	0.003258
118	0.005284	0.003258
119	0.005284	0.003258
120	0.005284	0.003258
121	0.005284	0.003258
122	0.005284	0.003258
123	0.005284	0.003258
124	0.005284	0.003258
125	0.005284	0.003258
126	0.005284	0.003258
127	0.005284	0.003258
128	0.005284	0.003258
129	0.005284	0.003258
130	0.005284	0.003258
131	0.005284	0.003258
132	0.005284	0.003258
133	0.005284	0.003258
134	0.005284	0.003258
135	0.005284	0.003258
136	0.005284	0.003258
137	0.005284	0.003258
138	0.005284	0.003258
139	0.005284	0.003258
140	0.03283	1.013
141	0.02756	0.04886
142	0.02756	0.04886
143	0.005284	0.003258
144	0.005284	0.003258
145	0.005284	0.003258
146	0.3042	0.9414
147	0.005284	0.003258
148	0.005284	0.003258
149	0.005284	0.003258
150	0.005284	0.003258
151	0.005284	0.003258
152	0.005284	0.003258
153	0.005284	0.003258
154	0.005284	0.003258
155	0.005284	0.003258
156	0.005284	0.003258
157	0.005284	0.003258
158	0.005284	0.003258
159	0.005284	0.003258
160	0.005284	0.003258
161	0.005284	0.003258
162	0.005284	0.003258
163	0.005284	0.003258
164	1.016	0.6889
165	0.005288	0.003262
